nom,dci1,dosage,unite_dosage,forme,presentation,ppv,ph,prix_br,princeps_generique,taux_remboursement,nom_ar,search_name
pursennide,SENOSIDES CALCIQUES,20,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME ENROBE,16.9,11.2,16.9,P,0%,بورسيننيدي,pursennide
ideos,CALCIUM / COLECALCIFEROL (VITAMINE D3),500 / 400,MG / UI,COMPRIME A SUCER,1 BOITE 30 COMPRIME,53.4,33.3,42.2,P,70%,يديوس,ideos
normacol lavement ad,PHOSPHATE MONOSODIQUE / PHOSPHATE DISODIQUE,23.66 / 10.4,G / G,SOLUTION RECTALE,1 FLACON 130 ML,26.5,17.5,26.5,P,0%,نورماكول لافيمينت اد,normacol lavement ad
crestor,ROSUVASTATINE,5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,210.0,130.8,210.0,P,70%,كريستور,crestor
inhibace,CILAZAPRIL,5,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME SECABLE,179.9,112.4,179.9,P,70%,ينهيباكي,inhibace
diamicron,GLICLAZIDE,80,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,37.2,24.6,29.7,P,70%,دياميكرون,diamicron
tegretol,CARBAMAZEPINE,200,MG,COMPRIME SECABLE,1 BOITE 50 COMPRIME SECABLE,81.1,50.5,56.0,P,70%,تيجريتول,tegretol
andol,PARACETAMOL,500,MG,COMPRIME,1 BOITE 20 COMPRIME,10.0,6.2,10.0,G,70%,اندول,andol
zeclar,CLARITHROMYCINE,250,MG,COMPRIME PELLICULE,1 BOITE 10 COMPRIME,171.65,113.5,90.0,P,70%,زيكلار,zeclar
orex,CEFALEXINE,250,MG,GRANULE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,37.7,23.5,37.7,G,70%,وريكس,orex
revlimid 25 mg,LENALIDOMIDE,25,MG,GELULE,1 BOITE 21 GELULE,0.0,58465.0,58465.0,P,0%,ريفليميد 25 مج,revlimid 25 mg
fenac,DICLOFENAC,50,MG,COMPRIME GASTRO-RESISTANT,1 BOITE 30 COMPRIME GASTRO-RESISTANT,44.1,27.5,44.1,G,70%,فيناك,fenac
lipistat,SIMVASTATINE,40,MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME ENROBE,232.0,145.1,232.0,G,70%,ليبيستات,lipistat
calcibronat,BROMOGALACTOGLUCONATE DE CALCIUM,13.3,%,SIROP,1 FLACON 200 ML,26.4,17.5,26.4,P,0%,كالكيبرونات,calcibronat
vita c 1000,ACIDE ASCORBIQUE (VITAMINE C),1,G,COMPRIME EFFERVESCENT,1 BOITE 20 COMPRIME EFFERVESCENT,27.7,18.3,27.7,G,0%,فيتا ك 1000,vita c 1000
duphalac,LACTULOSE,66.5,%,SOLUTION BUVABLE,1 FLACON 200 ML,49.35,32.6,49.35,P,0%,دوبهالاك,duphalac
cialis,TADALAFIL,20,MG,COMPRIME PELLICULE,1 BOITE 4 COMPRIME PELLICULE,440.0,0.0,440.0,P,0%,كياليس,cialis
ephedryl,PARACETAMOL / TRIPROLIDINE,2.5 / 25,G / MG,SOLUTION BUVABLE,1 FLACON 100 ML,17.85,11.8,17.85,G,0%,يبهيدريل,ephedryl
eclaran,PEROXYDE DE BENZOYLE,5,%,GEL,1 TUBE 45 G,31.45,20.8,31.45,P,0%,يكلاران,eclaran
coquelusedal nourrisson,NIAOULI / GRINDELIA / GELSEMIUM,10/10/5,MG / MG / MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE,11.4,7.5,11.4,P,0%,كوقويلوسيدال نوورريسسون,coquelusedal nourrisson
nicopass 1.5 mg sans sucre reglisse menthe,NICOTINE,1.5,MG,PASTILLE A SUCER,1 BOITE 36 PASTILLE,120.4,79.6,120.4,P,0%,نيكوباسس 1.5 مج سانس سوكري ريجليسسي مينتهي,nicopass 1 5 mg sans sucre reglisse menthe
micropakine lp 100 mg,VALPROATE DE SODIUM,100,MG,GRANULE LP,1 BOITE 30 SACHET,39.6,26.2,39.6,P,0%,ميكروباكيني لب 100 مج,micropakine lp 100 mg
cytarabine ebewe,CYTARABINE,100,MG,SOLUTION POUR PERFUSION,1 FLACON 5 ML,42.0,26.2,42.0,G,70%,كيتارابيني يبيوي,cytarabine ebewe
fleet phospho-soda,HYDROGENOPHOSPHATE DE SODIUM DODECAHYDRATE / DIHYDROGENOPHOSPHATE DE SODIUM HYDRATE,10.8 / 24.4,G / G,SOLUTION BUVABLE,2 FLACON 45 ML,128.0,84.65,128.0,G,0%,فلييت بهوسبهو-سودا,fleet phospho soda
neomox,AMOXICILLINE,250,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,28.0,17.5,28.0,G,70%,نيوموكس,neomox
anexate 0.5 mg / 5 ml,FLUMAZENIL,0.5,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,1079.0,713.8,1079.0,P,0%,انيكساتي 0.5 مج / 5 مل,anexate 0 5 mg 5 ml
recofol,PROPOFOL,10,MG,EMULSION INJECTABLE,1 FLACON 50 ML,0.0,140.0,140.0,P,0%,ريكوفول,recofol
tobradex,TOBRAMYCINE / DEXAMETHASONE,3 / 1,MG / MG,POMMADE OPHTALMIQUE,1 TUBE 3.5 G,60.0,39.65,60.0,P,0%,توبراديكس,tobradex
baitanet g,POLYVIDONE IODEE,10,%,SOLUTION GYNECOLOGIQUE,1 FLACON 550 ML,41.0,27.1,41.0,G,0%,بايتانيت ج,baitanet g
cardix,CARVEDILOL,6.25,MG,COMPRIME SECABLE,1 BOITE 28 COMPRIME,44.0,27.5,44.0,G,70%,كارديكس,cardix
clarelux 500 µg,PROPIONATE DE CLOBETASOL,500,µG,MOUSSE,1 FLACON 100 G,165.9,109.7,165.9,P,0%,كلاريلوكس 500 µج,clarelux 500 ug
bisolvon,BROMHEXINE,0.2,%,SOLUTION BUVABLE,1 FLACON 60 ML,18.3,12.1,18.3,P,0%,بيسولفون,bisolvon
anafranil,CLOMIPRAMINE,25,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME ENROBE,47.9,29.9,47.9,P,70%,انافرانيل,anafranil
aromasine,EXEMESTANE,25,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME,969.0,689.0,969.0,P,70%,اروماسيني,aromasine
claradol plus,PARACETAMOL / PROPYPHENAZONE,250 / 150,MG / MG,COMPRIME,1 BOITE 10 COMPRIME,17.25,0.0,17.25,P,0%,كلارادول بلوس,claradol plus
vantec,CETIRIZINE,10,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME ENROBE,37.7,23.5,37.7,G,70%,فانتيك,vantec
cefotrim,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,61.0,38.0,61.0,G,70%,كيفوتريم,cefotrim
acivir,ACICLOVIR,0.1,G,CREME,1 TUBE 2 G,25.0,0.0,25.0,G,0%,اكيفير,acivir
madecassol,CENTELLA ASIATICA,1,%,POMMADE,1 TUBE 10 G,24.0,15.9,24.0,P,0%,ماديكاسسول,madecassol
mitosyl irritations,FOIE DE POISSON / ZINC,13 / 17.55,G / G,POMMADE,1 TUBE 65 G,17.25,11.4,17.25,P,0%,ميتوسيل يرريتاتيونس,mitosyl irritations
panoxyl,PEROXYDE DE BENZOYLE,5,%,GEL,1 TUBE 40 G,40.2,26.2,40.2,P,0%,بانوكسيل,panoxyl
microval,LEVONORGESTREL,0.03,MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME,13.95,9.2,13.95,P,0%,ميكروفال,microval
lamictal,LAMOTRIGINE,5,MG,COMPRIME DISPERSIBLE,1 BOITE 30 COMPRIME,41.2,25.7,41.2,P,70%,لاميكتال,lamictal
gynergene cafeine,ERGOTAMINE / CAFEINE,1 / 100,MG / MG,COMPRIME,1 BOITE 20 COMPRIME,41.8,27.6,41.8,P,0%,جينيرجيني كافييني,gynergene cafeine
"adrenaline 0,50 mg,epinephrine,0.5,mg,solution injectable,1 boite 10 ampoule injectable,20.6,13.6,20.6,g,70%,""ادريناليني 0,50 مج"",adrenaline 0 50 mg,,,,,,,,,,,,"
spasmopriv,MEBEVERINE,200,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,44.9,28.0,44.9,G,70%,سباسموبريف,spasmopriv
coversyl,PERINDOPRIL,4,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,232.4,153.7,105.0,P,70%,كوفيرسيل,coversyl
zomig,ZOLMITRIPTAN,2.5,MG,COMPRIME PELLICULE,1 BOITE 6 COMPRIME,323.0,214.0,323.0,P,70%,زوميج,zomig
genhevac b,VACCIN ANTI-HEPATITE B,,,POUDRE POUR SUSPENSION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,148.4,92.5,148.4,P,70%,جينهيفاك ب,genhevac b
dimazol,CARBIMAZOLE,10,MG,COMPRIME,1 BOITE 100 COMPRIME,88.0,58.2,88.0,G,0%,ديمازول,dimazol
lumigan 0.3mg/ml,BIMATOPROST,0.3,MG,COLLYRE,1 FLACON 3 ML,230.0,152.1,230.0,P,0%,لوميجان 0.3مج/مل,lumigan 0 3mg ml
moscontin,MORPHINE,60,MG,COMPRIME LP,1 BOITE 14 COMPRIME,209.0,130.8,209.0,P,70%,موسكونتين,moscontin
penamox,AMOXICILLINE,500,MG,GELULE,1 BOITE 12 GELULE,52.5,32.7,46.6,P,70%,بيناموكس,penamox
gentosyl,GENTAMICINE,40,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,12.8,8.0,12.8,G,70%,جينتوسيل,gentosyl
ciprofloxacine win 250 mg,CIPROFLOXACINE,250,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE,63.4,41.9,63.4,G,70%,كيبروفلوكساكيني وين 250 مج,ciprofloxacine win 250 mg
paroxetine gt 20 mg,PAROXETINE,20,MG,COMPRIME PELLICULE,1 FLACON 10 COMPRIME PELLICULE,63.0,39.2,63.0,G,70%,باروكسيتيني جت 20 مج,paroxetine gt 20 mg
parapsyllium,TEGUMENT MUCILAGINEUX DE GRAINE DE PSYLIUM / PARAFFINE LIQUIDE,33.33 / 33.33,G / G,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 1 FLACON,37.55,0.0,37.55,G,0%,بارابسيلليوم,parapsyllium
zoloft,SERTRALINE,50,MG,GELULE,1 BOITE 15 GELULE,71.0,44.2,71.0,P,70%,زولوفت,zoloft
serohale 50 µg,SALMETEROL / FLUTICASONE,25 / 50,µG / µG,SUSPENSION POUR INHALATION BUCCALE,1 FLACON 120 DOSE,123.0,76.9,123.0,G,70%,سيروهالي 50 µج,serohale 50 ug
zometa,ACIDE ZOLEDRONIQUE,4,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON,2689.0,2321.0,2689.0,P,70%,زوميتا,zometa
butamyl,SALBUTAMOL,1,MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE,30.6,19.1,30.6,G,70%,بوتاميل,butamyl
antistaph / penistaph,FLUCLOXACILLINE,500,MG,GELULE,1 BOITE 24 GELULE,89.9,56.0,89.9,G,70%,انتيستابه / بينيستابه,antistaph penistaph
totapen,AMPICILLINE,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 8 FLACON,51.8,0.0,51.8,P,70%,توتابين,totapen
broncotec,FORMOTEROL,12,µG,GELULE INHALEE,1 BOITE 30 GELULE,123.8,77.4,123.8,G,70%,برونكوتيك,broncotec
cebesine,OXYBUPROCAINE,0.4,%,COLLYRE,1 FLACON 10 ML,23.0,15.2,23.0,P,0%,كيبيسيني,cebesine
chemoset,ONDANSETRON,8,MG,COMPRIME PELLICULE,1 BOITE 1 COMPRIME PELLICULE,39.0,24.3,39.0,G,70%,كهيموسيت,chemoset
zofran,ONDANSETRON,8,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,1404.6,929.1,643.0,P,70%,زوفران,zofran
metrozal,METRONIDAZOLE,500,MG,OVULE,1 BOITE 10 OVULE,28.0,17.4,28.0,G,70%,ميتروزال,metrozal
tre-zen 20 mg,PAROXETINE,20,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME SECABLE,130.2,86.1,130.2,G,70%,تري-زين 20 مج,tre zen 20 mg
ultravist,IOPROMIDE,370,MG,SOLUTION INJECTABLE,1 FLACON 100 ML,667.6,441.6,667.6,P,0%,ولترافيست,ultravist
oestrodose,ESTRADIOL,0.06,%,GEL,1 FLACON 80 G,86.0,56.9,86.0,P,0%,ويسترودوسي,oestrodose
spiriva,TIOTROPIUM,18,µG,GELULE INHALEE,1 BOITE 30 GELULE,571.0,378.0,571.0,P,70%,سبيريفا,spiriva
vitrimix kv *,MULTIPLE,,,PREPARATION INJECTABLE POUR PERFUSION,1 BOITE 2 FLACON,391.9,0.0,391.9,P,0%,فيتريميكس كف *,vitrimix kv
nocol,SIMVASTATINE,40,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,198.0,123.7,198.0,G,70%,نوكول,nocol
dispamox 250 mg,AMOXICILLINE,250,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,18.0,11.9,18.0,G,70%,ديسباموكس 250 مج,dispamox 250 mg
introna,INTERFERON ALFA-2B,18,MUI,SOLUTION INJECTABLE,1 STYLO 1.5 ML,0.0,1200.0,1200.0,P,70%,ينترونا,introna
azithrix,AZITHROMYCINE,200,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 30 ML,99.0,61.7,99.0,G,70%,ازيتهريكس,azithrix
azix,AZITHROMYCINE,500,MG,COMPRIME PELLICULE,1 BOITE 3 COMPRIME,79.7,49.7,79.7,G,70%,ازيكس,azix
synnax,LAMOTRIGINE,5,MG,COMPRIME DISPERSIBLE,1 BOITE 30 COMPRIME,41.2,25.7,41.2,G,70%,سينناكس,synnax
nozinan,LEVOMEPROMAZINE,25,MG,COMPRIME PELLICULE SECABLE,1 BOITE 20 COMPRIME,16.2,10.1,16.2,P,70%,نوزينان,nozinan
stilnox cr,ZOLPIDEM,12.5,MG,COMPRIME PELLICULE SECABLE,1 BOITE 28 COMPRIME PELLICULE,122.0,76.0,122.0,P,70%,ستيلنوكس كر,stilnox cr
razon 40 mg,PANTOPRAZOLE,40,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 28 COMPRIME ENROBE GASTRO-RESISTANT,180.0,119.1,180.0,G,0%,رازون 40 مج,razon 40 mg
orgalutran,GANIRELIX,0.25,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,512.6,339.7,512.6,P,0%,ورجالوتران,orgalutran
xalatan,LATANOPROST,0.005,%,COLLYRE,1 FLACON 2.5 ML,157.0,97.8,157.0,P,70%,كسالاتان,xalatan
ceftaject i.m 500 mg/2ml,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON + AMPOULE,55.0,0.0,55.0,G,70%,كيفتاجيكت ي.م 500 مج/2مل,ceftaject i m 500 mg 2ml
glidiabet,GLIBENCLAMIDE,5,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,25.7,17.0,25.7,G,70%,جليديابيت,glidiabet
oscilloccinum,SOUCHE HOMEOPATHIQUE,,,GLOBULE,1 BOITE 6 DOSE GLOBULE,71.5,47.3,71.5,P,0%,وسكيللوككينوم,oscilloccinum
thiazilix,INDAPAMIDE,2.5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,50.0,31.2,50.0,G,70%,تهيازيليكس,thiazilix
bispirazole,SPIRAMYCINE / METRONIDAZOLE,1.5 / 250,MUI / MG,COMPRIME ENROBE,1 BOITE 15 COMPRIME,79.9,49.8,79.9,G,70%,بيسبيرازولي,bispirazole
lacipil,LACIDIPINE,2,MG,COMPRIME ENROBE,1 BOITE 14 COMPRIME,75.0,0.0,75.0,P,70%,لاكيبيل,lacipil
retrovir,ZIDOVUDINE,50,MG,SOLUTION BUVABLE,1 FLACON 200 ML,302.0,201.0,302.0,P,70%,ريتروفير,retrovir
oka-etoposide,ETOPOSIDE,100,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON,126.0,78.7,126.0,G,70%,وكا-يتوبوسيدي,oka etoposide
oradexon,DEXAMETHASONE,0.5,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,14.3,8.9,14.3,P,70%,وراديكسون,oradexon
neofortan 40mg,PHLOROGLUCINOL,40,MG,COMPRIME EFFERVESCENT,1 TUBE 10 COMPRIME EFFERVESCENT,40.0,26.4,40.0,G,0%,نيوفورتان 40مج,neofortan 40mg
dialyse peritoneale bieffe formule 55,CONCENTRE POUR DIALYSE PERITONEALE,,,SOLUTION POUR DIALYSE PERITONEALE,1 POCHE 2 L,82.6,0.0,82.6,P,70%,دياليسي بيريتونيالي بييففي فورمولي 55,dialyse peritoneale bieffe formule 55
un-alfa 1 µg,ALFACALCIDOL,1,µG,CAPSULE,1 BOITE 30 CAPSULE,172.2,107.3,172.2,P,70%,ون-الفا 1 µج,un alfa 1 ug
imizine 10%,METRONIDAZOLE,10,%,PATE DENTAIRE,1 TUBE 4.5 G,360.0,0.0,360.0,P,0%,يميزيني 10%,imizine 10
trusopt,DORZOLAMIDE,2,%,COLLYRE,1 FLACON 5 ML,104.4,65.0,104.4,P,70%,تروسوبت,trusopt
zoladex 10.8 mg,GOSERELINE,10.8,MG,IMPLANT INJECTABLE,1 KIT 1 IMPLANT INJECTABLE,3340.0,3026.0,3340.0,P,70%,زولاديكس 10.8 مج,zoladex 10 8 mg
zantac,RANITIDINE,75,MG,COMPRIME EFFERVESCENT,1 BOITE 12 COMPRIME,50.7,31.6,50.7,P,70%,زانتاك,zantac
quietude,SOUCHE HOMEOPATHIQUE,,,SIROP,1 FLACON 200 ML,47.0,31.0,47.0,P,0%,قوييتودي,quietude
nicopatch,NICOTINE,14,MG,DISPOSITIF TRANSDERMIQUE,1 BOITE 7 PATCH,250.0,165.4,250.0,P,0%,نيكوباتكه,nicopatch
hibor 10000 ui anti xa,BEMIPARINE,10000,UI,SOLUTION INJECTABLE,1 BOITE 10 SERINGUE PREREMPLIE,1730.9,1145.0,1730.9,P,0%,هيبور 10000 وي انتي كسا,hibor 10000 ui anti xa
panfurex,NIFUROXAZIDE,4,%,SUSPENSION BUVABLE,1 FLACON 90 ML,20.0,13.2,20.0,G,70%,بانفوريكس,panfurex
ceftriaxone mylan iv 500 mg/5 ml,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,64.0,39.9,64.0,G,70%,كيفترياكسوني ميلان يف 500 مج/5 مل,ceftriaxone mylan iv 500 mg 5 ml
